/* DATA DESCRIPTION:
Citation:	Tiedemann, R et al. (1994): Dust content in sediments of ODP Hole 108-659A in the North Atlantic. doi:10.1594/PANGAEA.52518, 
	In Supplement to: Tiedemann, Ralf; Sarnthein, Michael; Shackleton, Nicholas J (1994): Astronomic timescale for the Pliocene Atlantic d18O and dust flux records of Ocean Drilling Program site 659. Paleoceanography, 9(4), 619-638, doi:10.1029/94PA00208
Project(s):	Helmholtz Centre for Ocean Research Kiel (GEOMAR) (URI: http://www.geomar.de/en/)
	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 18.077200 * LONGITUDE: -21.026200
	DATE/TIME START: 1986-03-09T09:30:00 * DATE/TIME END: 1986-03-11T05:30:00
	MINIMUM DEPTH, sediment/rock: 0.1 m * MAXIMUM DEPTH, sediment/rock: 149.6 m
Event(s):	108-659A * LATITUDE: 18.077200 * LONGITUDE: -21.026200 * DATE/TIME START: 1986-03-09T09:30:00 * DATE/TIME END: 1986-03-11T05:30:00 * ELEVATION: -3082.0 m * RECOVERY: 174.95 m * PENETRATION: 273.80 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg108 (URI: doi:10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling * COMMENT: 29 cores; 273.8 m cored; 0 m drilled; 63.9 % recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * Geocode
	Dust, aeolian [%] (Dust) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: see comment * COMMENT: Depth is a result from correlations between holes A, B and C (see Depth, composite). The noncarbonate fraction (100% minus %CaCO3) is considered to be purely eaolian, because the concentrations of biogenic opal (<2%), organic carbon (<0.5%), and volcanic glass are negligible and fluvial sediment supply and turbidites cannot reach this position (Tiedemann et al., 1989)
	Density, dry bulk [g/cm**3] (DBD) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * COMMENT: Depth is a result from correlations between holes A, B and C (see Depth, composite).
	Accumulation rate, dust [g/cm**2/ka] (Acc rate dust) * PI: Tiedemann, Ralf (URL: http://www.awi.de/People/show?rtiedema, eMail: ralf.tiedemann@awi.de) * METHOD: calculated * COMMENT: Depth is a result from correlations between holes A, B and C (see Depth, composite). The noncarbonate fraction (100% minus %CaCO3) is considered to be purely eaolian, because the concentrations of biogenic opal (<2%), organic carbon (<0.5%), and volcanic glass are negligible and fluvial sediment supply and turbidites cannot reach this position (Tiedemann et al., 1989)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	3720 data points
*/
Depth [m]	Dust [%]	DBD [g/cm**3]	Acc rate dust [g/cm**2/ka]
0.11	35.61	0.55	1.099
0.22	32.35	0.55	0.998
0.32	37.57	0.55	1.160
0.47	33.40	0.55	1.031
0.55	18.18	0.55	0.579
0.72	36.10	0.65	1.380
0.73	27.29	0.65	1.043
0.86	26.10	0.73	1.121
1.03	52.67	0.74	2.293
1.05	54.63	0.74	2.030
1.12	45.72	0.74	1.631
1.32	48.55	0.74	1.732
1.45	44.21	0.74	1.577
1.59	38.20	0.74	1.016
1.67	37.31	0.74	0.686
1.84	41.48	0.74	0.763
1.88	58.60	0.74	1.078
2.04	27.06	0.74	0.498
2.11	32.96	0.74	0.606
2.16	39.10	0.74	0.719
2.22	36.49	0.74	0.645
2.29	45.80	0.74	0.784
2.43	58.20	0.74	0.996
2.46	60.12	0.75	1.093
2.54	51.23	0.75	0.948
2.72	57.99	0.75	1.073
2.80	21.70	0.76	0.301
2.92	46.69	0.76	0.552
2.94	49.30	0.76	0.764
3.06	31.40	0.76	0.514
3.14	40.31	0.77	0.668
3.21	45.90	0.77	0.761
3.28	29.58	0.78	0.732
3.43	24.00	0.78	0.764
3.48	41.27	0.79	1.330
3.60	49.50	0.79	1.595
3.61	54.57	0.79	1.758
3.65	51.70	0.79	1.666
3.70	44.37	0.79	1.430
3.85	58.79	0.78	1.870
3.93	45.39	0.78	1.444
4.03	23.03	0.77	0.595
4.14	32.68	0.77	0.727
4.28	36.53	0.76	0.802
4.41	46.09	0.76	1.037
4.42	46.80	0.76	1.551
4.51	40.02	0.75	1.309
4.68	48.82	0.74	1.575
4.70	47.80	0.74	1.542
4.85	50.50	0.74	1.629
4.87	50.52	0.74	1.630
5.09	53.10	0.70	1.621
5.12	55.60	0.70	1.697
5.18	54.79	0.71	1.297
5.26	62.91	0.72	1.283
5.34	69.81	0.73	1.444
5.43	60.27	0.74	1.264
5.54	32.57	0.76	0.701
5.63	26.84	0.77	0.521
5.71	38.28	0.78	0.495
5.81	41.80	0.79	0.539
5.91	49.08	0.81	1.086
6.04	48.21	0.82	1.488
6.14	57.00	0.84	1.801
6.26	40.00	0.85	0.855
6.36	32.19	0.86	0.498
6.46	42.98	0.88	0.681
6.55	42.70	0.89	0.684
6.62	47.10	0.89	1.121
6.73	43.48	0.89	1.497
6.86	22.98	0.89	0.791
6.93	46.09	0.89	1.587
7.03	57.97	0.89	1.804
7.16	46.03	0.89	1.334
7.31	39.50	0.89	1.144
7.41	39.01	0.89	1.130
7.57	31.23	0.89	0.762
7.73	29.55	0.89	0.623
7.86	40.92	0.89	0.958
7.98	40.74	0.89	1.084
8.12	48.20	0.89	1.282
8.25	39.21	0.89	1.133
8.34	41.44	0.89	1.467
8.46	48.28	0.89	1.809
8.53	51.03	0.89	1.742
8.68	55.94	0.89	1.833
8.91	54.65	0.89	1.791
9.03	21.99	0.89	0.650
9.14	16.79	0.89	0.448
9.23	28.40	0.89	0.758
9.36	33.72	0.89	1.010
9.42	58.18	0.89	2.367
9.55	37.30	0.89	1.518
9.66	39.77	0.89	1.618
9.75	52.80	0.89	2.148
9.80	63.89	0.89	2.600
9.90	28.80	0.89	1.172
10.00	33.64	0.89	0.938
10.08	40.15	0.88	0.795
10.18	48.20	0.88	0.987
10.22	37.42	0.88	0.838
10.36	43.92	0.87	0.973
10.46	25.40	0.87	0.802
10.66	28.10	0.86	1.114
10.91	40.93	0.85	1.603
10.99	41.20	0.85	1.899
11.17	44.99	0.84	2.223
11.25	39.20	0.84	1.937
11.36	39.08	0.83	1.908
11.40	40.00	0.83	1.953
11.58	49.85	0.85	2.492
11.72	47.11	0.86	2.383
11.81	42.10	0.87	2.155
11.86	46.94	0.87	2.402
12.02	35.09	0.89	1.837
12.16	33.50	0.90	1.774
12.29	33.60	0.91	1.799
12.40	55.66	0.92	3.012
12.49	43.40	0.93	1.085
12.64	44.71	0.94	0.852
12.78	41.21	0.95	0.794
12.91	43.10	0.96	0.839
12.91	38.60	0.96	0.751
13.10	43.51	0.94	0.829
13.24	20.44	0.92	0.477
13.39	30.44	0.90	0.906
13.40	22.90	0.90	0.682
13.52	18.36	0.88	0.535
13.70	29.10	0.85	0.818
13.83	24.40	0.83	0.670
13.93	43.71	0.82	1.186
14.06	38.20	0.80	1.011
14.13	50.47	0.79	1.323
14.27	48.68	0.77	1.246
14.41	64.24	0.75	1.602
14.53	62.47	0.73	1.516
14.57	55.40	0.72	1.326
14.64	48.97	0.73	1.189
14.79	37.88	0.74	0.932
14.90	45.40	0.75	1.132
15.11	45.62	0.78	1.183
15.29	58.02	0.80	1.543
15.43	56.40	0.81	1.544
15.44	57.60	0.81	2.055
15.59	27.71	0.83	1.013
15.84	43.30	0.85	1.621
15.87	43.84	0.86	1.661
15.91	47.09	0.86	1.784
15.95	52.42	0.87	2.008
16.05	47.06	0.88	1.824
16.06	45.28	0.88	1.755
16.08	48.50	0.88	1.880
16.15	42.73	0.89	1.675
16.26	21.29	0.90	0.844
16.35	21.80	0.91	0.874
16.40	32.90	0.91	1.319
16.50	31.60	0.91	1.267
16.61	33.13	0.91	1.328
16.74	30.93	0.91	1.238
16.84	24.28	0.91	0.973
